Título Hotmart,Título Mapeamento,Similaridade
What the heck! A internacionalização da Dona Hermínia,What the heck! A internacionalização da Dona Hermínia,1.0
S08E09 — Como integrar a ModernMT a seu fluxo de trabalho,Como integrar a ModernMT a seu fluxo de trabalho,0.9142857142857143
S07E40 — Tort Law e os casos mais bizarros dos EUA,Tort Law 101 e os casos mais bizarros dos EUA,0.8631578947368421
Tradução de histórias em quadrinhos e o mercado mainstream no Brasil,Tradução de histórias em quadrinhos e o mercado mainstream no Brasil,1.0
Treine como um atleta: dicas para o tradutor autodidata,Treine como um atleta: dicas para o tradutor autodidata,1.0
A naturalidade e o tradutor do futuro,A naturalidade e o tradutor do futuro,1.0
A tradução da animação (Des)encanto: muitos aprendizados — Paulo Noriega,A tradução da animação (Des)encanto: muitos aprendizados (e um pouco de rebeldia),0.8366013071895425
Dos livros lidos aos livros traduzidos,Dos livros lidos aos livros traduzidos,1.0
Aposte no visual!,Aposte no visual!,1.0
She-ra e as Princesas do Poder,She-ra e as Princesas do Poder,1.0
Postura profissional de um tradutor,Postura profissional de um tradutor,1.0
A Tradução para a dublagem brasileira,A Tradução para a dublagem brasileira,1.0
Cinco tipos diferentes de tradução,Cinco tipos diferentes de tradução,1.0
Assim diz a legenda,Assim diz a legenda,1.0
Tradução para dublagem de cinema,Tradução para dublagem de cinema,1.0
Treine como um atleta 2: mais dicas para o tradutor autodidata,Treine como um atleta 2: mais dicas para o tradutor autodidata,1.0
Singularidades da tradução de idiomas raros,Singularidades da tradução de idiomas raros,1.0
Desvendando o Proz,Desvendando o Proz,1.0
Interpretação: a vida real,Interpretação: a vida real,1.0
Desafios e percalços de tradutores iniciantes nas agências de tradução,Desafios e percalços de tradutores iniciantes nas agências de tradução,1.0
Transcreation 101,Transcreation 101,1.0
Abordagem a agências pelo LinkedIn,Abordagem a agências pelo LinkedIn,1.0
As escolhas do gerente de projetos,As escolhas do gerente de projetos,1.0
A culinária em legendas,A culinária em legendas,1.0
Entendendo a tributação,Entendendo a tributação,1.0
Autogestão para tradutores,Autogestão para tradutores,1.0
A linguagem LGBTQIA+ na tradução para dublagem,A linguagem LGBTQIA+ na tradução para dublagem,1.0
Regex for dummies: como começar a usar expressões regulares,Regex for dummies: como começar a usar expressões regulares,1.0
Interpretação no Oscar,Interpretação no Oscar,1.0
"Tradutores formados, informados e desenformados. Nossos muitos caminhos","Tradutores formados, informados e desenformados. Nossos muitos caminhos",1.0
Falsos cognatos e decalques na tradução médica inglês>português,Falsos cognatos e decalques na tradução médica inglês>português,1.0
Tradução de games? É muito simples! #sqn,Tradução de games? É muito simples! #sqn,1.0
CAT Tools e Machine Translations: discutindo a relação,CAT Tools e Machine Translations: discutindo a relação,1.0
Experiência com tradução jurídica do gênero contrato,Experiência com tradução jurídica do gênero contrato,1.0
O tradutor nômade digital,O tradutor nômade digital,1.0
Tradutor como empreendedor: da criação de marca ao relacionamento com o cliente,Tradutor como empreendedor: da criação de marca ao relacionamento com o cliente,1.0
Tempos verbais e suas especificidades nas versões de artigos científicos para o inglês,Tempos verbais e suas especificidades nas versões de artigos científicos para o inglês,1.0
Tradução de videogames: o ponto de vista do tradutor,Tradução de videogames: o ponto de vista do tradutor,1.0
Como usar ferramentas de corpus para dar mais naturalidade ao seu texto,Como usar ferramentas de corpus para dar mais naturalidade ao seu texto,1.0
10 anos traduzindo de tudo. Minha carreira na VICE Brasil,10 anos traduzindo de tudo. Minha carreira na VICE Brasil,1.0
SDL Studio: primeiros passos,SDL Studio: primeiros passos,1.0
Como conciliar as carreiras de tradutor e intérprete,Como conciliar as carreiras de tradutor e intérprete,1.0
Como traduzir a Terra-média,Como traduzir a Terra-média,1.0
"Amigos, amigos, trabalhos à parte: o trabalho com colegas contratantes","Amigos, amigos, trabalhos à parte: o trabalho com colegas contratantes",1.0
AMA (Ask me anything) sobre localização de jogos!,AMA (Ask me anything) sobre localização de jogos!,1.0
Profissão tradutor/intérprete de Libras - trajetórias e formação,Profissão tradutor/intérprete de Libras - trajetórias e formação,1.0
Ask me anything sobre legendagem,Ask me anything sobre legendagem,1.0
Traduzindo para a cena,Traduzindo para a cena,1.0
Cobrança e negociação para tradutores,Cobrança e negociação para tradutores,1.0
Tradução de literatura infantil e infanto-juvenil: un plus a mais,Tradução de literatura infantil e infanto-juvenil: un plus a mais,1.0
